time,51,52,53,54,55,56,57,58,59
0,0,0,0,0,22.73,-1.85,-7.36,3.28,34.82
2,180,180,180,180,22.73,-1.85,-7.36,3.28,34.82
4,180,180,180,180,8,-2.07,-17.82,-4.04,34.85
6,180,180,180,180,-11.12,-2.09,-23.12,-12.38,34.87
8,180,180,180,180,-34.1586,9.19288,-26.8898,-14.1338,35.4413
10,180,180,180,180,-40.3347,17.3643,-26.771,-12.566,35.8451
12,0,0,0,0,-40.3109,17.3406,-26.8423,-14.941,26.581
14,0,0,0,0,-15.5115,-6.27111,-10.5944,-13.2786,18.6946
16,0,0,0,0,-11.212,-6.72245,-0.475084,-2.5417,18.6708
18,0,0,0,0,-0.593856,-6.69869,10.2143,7.48258,21.2838
