m=[[1,0,0],[0,0.258819,0.965926],[0,-0.965926,0.258819],[10,30,15]]
p1=[22.9904,28.0589,7.75556] p2=[25,30,15] p3=[22.9904,31.9411,22.2444]
s,x,y,z,px,py,pz,ux,uy,uz
0,22.9904,28.0589,7.75556,6.3274e-08,-0.965926,0.258819,0.866026,-0.129409,-0.482963
0.1,23.7032,28.4209,9.10684,6.3274e-08,-0.965926,0.258819,0.913546,-0.105271,-0.392877
0.2,24.2658,28.8003,10.5227,6.3274e-08,-0.965926,0.258819,0.951057,-0.0799794,-0.298487
0.3,24.6722,29.1928,11.9876,6.3274e-08,-0.965926,0.258819,0.978148,-0.0538114,-0.200827
0.4,24.9178,29.5942,13.4855,6.3274e-08,-0.965926,0.258819,0.994522,-0.0270538,-0.100967
0.5,25,30,15,6.3274e-08,-0.965926,0.258819,1,1.2666e-07,1.19209e-07
0.6,24.9178,30.4058,16.5145,6.3274e-08,-0.965926,0.258819,0.994522,0.0270541,0.100967
0.7,24.6722,30.8072,18.0124,6.3274e-08,-0.965926,0.258819,0.978148,0.0538116,0.200827
0.8,24.2658,31.1997,19.4773,6.3274e-08,-0.965926,0.258819,0.951056,0.0799796,0.298488
0.9,23.7032,31.5791,20.8932,6.3274e-08,-0.965926,0.258819,0.913545,0.105271,0.392877
1,22.9904,31.9411,22.2444,6.3274e-08,-0.965926,0.258819,0.866025,0.12941,0.482963
